Step,Loss
0,0.9055360555648804
1,0.6797138452529907
2,0.7080955505371094
3,0.6423327922821045
4,0.7049780488014221
5,0.7722079753875732
6,0.6514471769332886
7,0.753368616104126
8,0.6494815349578857
9,0.7111397981643677
10,0.6626526117324829
11,0.6176695823669434
12,0.6936290264129639
13,0.6912779808044434
14,0.6499236822128296
15,0.6770287752151489
16,0.6532630324363708
17,0.6960113644599915
18,0.6890495419502258
19,0.6684139370918274
20,0.6933016777038574
21,0.7328426837921143
22,0.6074129343032837
23,0.6820170283317566
24,0.6652198433876038
25,0.6681271195411682
26,0.6962954998016357
27,0.7241203188896179
28,0.6558853387832642
29,0.6772196888923645
30,0.655265212059021
31,0.6297081708908081
32,0.6977099180221558
33,0.7070479989051819
34,0.7110990881919861
35,0.6592731475830078
36,0.6608157157897949
37,0.6923803687095642
38,0.8081623315811157
39,0.6608237028121948
40,0.7310192584991455
41,0.6513389348983765
42,0.5463595390319824
43,0.6372842788696289
44,0.6448478102684021
45,0.6495855450630188
46,0.5989152193069458
47,0.531618595123291
48,0.5909639000892639
49,0.6074596047401428
50,0.6169629096984863
51,0.5664610862731934
52,0.6069018244743347
53,0.6427025198936462
54,0.5063379406929016
55,0.5019363164901733
56,0.7506873607635498
57,0.5128597617149353
58,0.7067197561264038
59,0.5245475172996521
60,0.529473602771759
61,0.6526995897293091
62,0.6225445866584778
63,0.5346001982688904
64,0.7234300374984741
65,0.5956648588180542
66,0.5003378391265869
67,0.5092816948890686
68,0.5570725798606873
69,0.5860726833343506
70,0.6704978942871094
71,0.6863609552383423
72,0.7737112641334534
73,0.8468122482299805
74,0.7856348752975464
75,0.6201789379119873
76,0.5941287875175476
77,0.652691125869751
78,0.532741904258728
79,0.5913823246955872
80,0.62517249584198
81,0.6843612790107727
82,0.48285984992980957
83,0.5567912459373474
84,0.5483372807502747
85,0.5093618631362915
86,0.38184860348701477
87,0.5316875576972961
88,0.5639964938163757
89,0.49590611457824707
90,0.5498740673065186
91,0.5208674073219299
92,0.6070049405097961
93,0.6967151165008545
94,0.4910433292388916
95,0.548891007900238
96,0.694653332233429
97,0.392017662525177
98,0.4683058559894562
99,0.6257529854774475
100,0.476421594619751
101,0.48557430505752563
102,0.6015352606773376
103,0.557428240776062
104,0.4677812159061432
105,0.41106486320495605
106,0.5614598393440247
107,0.4961792826652527
108,0.5880500674247742
109,0.4815833866596222
110,0.4567659795284271
111,0.42966169118881226
112,0.5448365807533264
113,0.55730140209198
114,0.6088551878929138
115,0.653810977935791
116,0.5321564674377441
