Step,Loss
0,0.9412831664085388
1,0.8928709030151367
2,0.6499287486076355
3,0.6082603931427002
4,0.748154878616333
5,0.7163248658180237
6,0.7121800184249878
7,0.7204083204269409
8,0.6837248802185059
9,0.7025786638259888
10,0.6743226647377014
11,0.6346274614334106
12,0.7356265783309937
13,0.7202006578445435
14,0.6969020366668701
15,0.6632837057113647
16,0.7012202739715576
17,0.6528068780899048
18,0.6856708526611328
19,0.6888301372528076
20,0.6908310055732727
21,0.6993992328643799
22,0.6756141781806946
23,0.6687539219856262
24,0.6765526533126831
25,0.6721910834312439
26,0.6468062996864319
27,0.6363000273704529
28,0.6307457685470581
29,0.6405341625213623
30,0.7167795896530151
31,0.6874585747718811
32,0.6785904169082642
33,0.7177388072013855
34,0.7194637656211853
35,0.6533252000808716
36,0.6592704057693481
37,0.7123331427574158
38,0.6418022513389587
