Step,Loss
0,0.6244417428970337
1,0.6271342039108276
2,0.7331115007400513
3,0.7530367970466614
4,0.7701762318611145
5,0.7852979898452759
6,0.6773863434791565
7,0.7240060567855835
8,0.6956485509872437
9,0.7058277726173401
10,0.7347922325134277
11,0.7404108047485352
12,0.6911786794662476
13,0.6838894486427307
14,0.694299578666687
15,0.723535418510437
16,0.6867842674255371
17,0.7014889717102051
18,0.6868187785148621
19,0.6634982228279114
20,0.6566500067710876
21,0.6318872570991516
22,0.7325892448425293
23,0.66378253698349
24,0.6736940741539001
25,0.7446627616882324
26,0.7009887099266052
27,0.6627845764160156
28,0.7231647372245789
29,0.6134837865829468
30,0.6876941919326782
31,0.6324418783187866
32,0.6902807950973511
33,0.6070387363433838
34,0.6718780994415283
35,0.6596216559410095
36,0.6989961266517639
37,0.6583592891693115
38,0.686082124710083
