Step,Loss
0,0.9055360555648804
1,0.679713785648346
2,0.7076495885848999
3,0.6400178074836731
4,0.7028260231018066
5,0.7736438512802124
6,0.6513296365737915
7,0.751022219657898
8,0.6548188328742981
9,0.707629382610321
10,0.6588904857635498
11,0.6145505309104919
12,0.6967118978500366
13,0.6983460783958435
14,0.6441795825958252
15,0.6789698600769043
16,0.6519253253936768
17,0.7012290954589844
18,0.691001296043396
19,0.6754285097122192
20,0.6873686909675598
21,0.7326024174690247
22,0.620406985282898
23,0.6833940148353577
24,0.6525702476501465
25,0.6798869371414185
26,0.7147307991981506
27,0.7235207557678223
28,0.6681505441665649
29,0.697526752948761
30,0.6580085754394531
31,0.6505770087242126
32,0.6886754631996155
33,0.6778712868690491
34,0.7074357271194458
35,0.6593214869499207
36,0.6810560822486877
37,0.695023238658905
38,0.7639906406402588
